measure time,temperature (ºC),air humidity (%),light (lux),water (%),ec (µS),battery (%)
8:27:4 28/3/2024,26.6,35.3,0,29.523368,47.58494,87.04804
9:27:4 28/3/2024,25.6,35.9,0,29.152178,47.247339,87.04804
10:27:4 28/3/2024,24.8,38.4,0,29.236746,46.964704,87.04804
11:27:4 28/3/2024,25.1,39.7,0,29.202933,46.683759,87.04804
12:27:4 28/3/2024,25.1,39.0,10,28.948732,46.374806,87.04804
13:27:4 28/3/2024,25.8,39.0,1750,29.354939,46.145356,87.04804
14:27:4 28/3/2024,25.411186,33.0,9160,29.169101,45.887664,87.04804
15:27:4 28/3/2024,29.791909,14.2,35440,29.169101,45.700824,86.53302
16:27:4 28/3/2024,30.651463,8.4,31340,29.388664,45.660625,86.53302
17:27:4 28/3/2024,33.215296,1.0,36230,29.10138,45.799645,86.53302
18:27:4 28/3/2024,32.325613,1.0,39100,29.270539,46.064212,86.53302
19:27:4 28/3/2024,33.240563,1.0,39390,28.897766,46.434204,86.53302
20:27:4 28/3/2024,32.379667,1.0,39780,28.948732,46.82964,86.53302
21:27:4 28/3/2024,31.800568,2.4,40070,28.948732,47.186901,86.53302
22:27:4 28/3/2024,30.651463,5.4,35000,29.033583,47.406357,86.53302
23:27:4 28/3/2024,28.403925,12.0,11400,28.693494,47.497465,86.53302
0:27:4 29/3/2024,31.8,17.9,1770,28.505683,47.35708,86.53302
1:27:4 29/3/2024,28.5,24.7,0,28.351632,47.070022,86.53302
2:27:4 29/3/2024,27.1,28.3,0,28.214411,46.706173,87.04804
3:27:4 29/3/2024,25.8,33.0,0,28.094128,46.35626,87.04804
4:27:4 29/3/2024,24.8,36.2,0,28.059725,46.023693,87.04804
5:27:4 29/3/2024,23.8,38.5,0,28.248741,45.667931,87.04804
6:27:4 29/3/2024,24.8,38.6,0,28.042517,45.333049,87.04804
7:27:4 29/3/2024,25.8,38.2,0,28.059725,44.953847,87.04804
8:27:4 29/3/2024,25.3,38.6,0,28.505683,44.656342,87.04804
9:27:4 29/3/2024,23.9,42.6,0,28.420141,44.360806,87.04804
10:27:4 29/3/2024,23.6,44.3,0,27.990871,44.084856,87.04804
11:27:4 29/3/2024,23.5,46.2,0,28.214411,43.80011,87.04804
12:27:4 29/3/2024,22.9,47.0,80,28.40302,43.569455,87.04804
13:27:4 29/3/2024,24.254868,44.6,8280,28.042517,43.288038,87.04804
14:27:4 29/3/2024,29.824779,12.5,19830,28.025306,43.070415,86.53302
15:27:4 29/3/2024,32.244108,1.9,32920,28.00809,42.91564,86.014078
16:27:4 29/3/2024,32.646617,1.0,35000,27.973648,42.891614,86.014078
17:27:4 29/3/2024,32.433498,1.0,17580,28.300205,43.029087,86.014078
18:27:4 29/3/2024,32.513827,1.0,38810,28.00809,43.288038,86.014078
19:27:4 29/3/2024,32.189486,1.0,39680,28.231578,43.63224,86.014078
20:27:4 29/3/2024,31.800568,1.0,40070,28.042517,43.975661,86.014078
21:27:4 29/3/2024,31.486612,1.0,40270,27.801199,44.240309,86.014078
22:27:4 29/3/2024,30.682232,1.0,40270,28.059725,44.375004,86.014078
23:27:4 29/3/2024,27.804395,9.3,7490,27.714831,44.343065,86.53302
0:27:4 30/3/2024,25.952931,15.0,3740,27.281611,44.190787,86.53302
1:27:4 30/3/2024,25.7,21.7,0,27.298983,43.926436,86.53302
2:27:4 30/3/2024,24.0,25.9,0,27.003203,43.61828,86.53302
3:27:4 30/3/2024,22.1,29.3,0,26.933468,43.298428,86.53302
4:27:4 30/3/2024,21.4,32.5,0,27.194702,43.004998,86.53302
5:27:4 30/3/2024,20.5,35.6,0,27.229476,42.655505,87.04804
6:27:4 30/3/2024,19.8,38.3,0,27.385788,42.305467,87.04804
7:27:4 30/3/2024,19.2,40.2,0,26.950907,41.954946,87.04804
8:27:4 30/3/2024,20.6,40.4,0,26.985774,41.623975,87.04804
9:27:4 30/3/2024,19.5,42.7,0,27.003203,41.351816,87.04804
10:27:4 30/3/2024,19.0,43.1,0,27.264236,41.002635,87.04804
11:27:4 30/3/2024,19.1,44.8,0,26.968342,40.757356,87.04804
12:27:4 30/3/2024,18.5,45.4,40,27.298983,40.5557,86.53302
13:27:4 30/3/2024,24.989527,32.8,16450,27.038051,40.313094,86.53302
14:27:4 30/3/2024,28.693631,15.5,25550,26.985774,40.142528,86.53302
15:27:4 30/3/2024,33.088218,1.0,33000,27.21209,40.043098,86.014078
16:27:4 30/3/2024,33.540001,1.0,27710,27.437829,40.116845,86.014078
17:27:4 30/3/2024,33.391144,1.0,35610,27.038051,40.35827,86.014078
18:27:4 30/3/2024,33.088218,1.0,38720,27.264236,40.734538,86.014078
19:27:4 30/3/2024,32.298502,1.0,39580,27.316351,41.190034,86.014078
20:27:4 30/3/2024,32.513827,1.0,39780,27.264236,41.657288,86.014078
21:27:4 30/3/2024,32.189486,1.0,40070,27.246858,42.075951,86.014078
22:27:4 30/3/2024,31.37054,1.0,40270,27.489838,42.369821,86.014078
23:27:4 30/3/2024,27.842687,6.9,6380,26.985774,42.509022,86.014078
0:27:4 31/3/2024,29.2,12.9,2200,26.793845,42.441062,86.014078
1:27:4 31/3/2024,26.0,17.8,0,26.793845,42.204056,86.53302
3:27:4 31/3/2024,24.6,22.1,0,26.496487,41.884521,86.53302
4:27:4 31/3/2024,24.7,24.5,0,26.426395,41.547458,86.53302
5:27:4 31/3/2024,24.1,25.5,0,26.408865,41.242791,86.53302
6:27:4 31/3/2024,22.5,29.5,0,26.426395,40.982958,86.53302
7:27:4 31/3/2024,21.7,32.8,0,26.654021,40.724763,86.53302
8:27:4 31/3/2024,20.3,36.0,0,26.426395,40.474669,86.53302
9:27:4 31/3/2024,20.0,38.0,0,26.426395,40.248645,86.53302
10:27:4 31/3/2024,19.4,39.7,0,26.688995,40.011077,86.53302
11:27:4 31/3/2024,19.9,41.0,0,26.496487,39.816298,86.53302
12:27:4 31/3/2024,19.0,42.2,0,26.461447,39.584449,86.53302
13:27:4 31/3/2024,18.7,44.0,70,26.950907,39.429581,86.53302
14:27:4 31/3/2024,23.897282,40.3,13850,26.426395,39.256472,86.53302
15:27:4 31/3/2024,27.095128,20.6,26510,26.881133,39.08725,86.014078
16:27:4 31/3/2024,32.959885,1.0,31030,26.619034,39.002913,85.491094
17:27:4 31/3/2024,33.113733,1.0,26510,26.443922,39.065367,85.491094
18:27:4 31/3/2024,33.564645,1.0,35530,26.636529,39.291033,85.491094
19:27:4 31/3/2024,33.366168,1.0,38620,26.584035,39.635149,85.491094
20:27:4 31/3/2024,32.567106,1.0,39490,26.863682,40.068734,85.491094
21:27:4 31/3/2024,32.567106,1.0,39880,26.933468,40.520026,85.491094
22:27:4 31/3/2024,32.189486,1.0,40070,26.531515,40.910892,85.491094
23:27:4 31/3/2024,31.856845,1.0,40070,26.443922,41.203217,85.491094
0:27:4 1/4/2024,27.95689,3.6,6610,26.671509,41.335278,86.014078
1:27:4 1/4/2024,30.0,9.8,2540,26.268521,41.269195,86.014078
2:27:4 1/4/2024,27.2,15.6,0,25.864065,41.061721,86.014078
3:27:4 1/4/2024,25.2,19.1,0,25.758331,40.783449,86.014078
4:27:4 1/4/2024,23.8,23.6,0,25.881679,40.477908,86.014078
5:27:4 1/4/2024,22.3,26.9,0,26.092843,40.187513,86.014078
6:27:4 1/4/2024,21.0,29.4,0,25.687793,39.934329,86.014078
7:27:4 1/4/2024,20.6,32.4,0,25.952108,39.68274,86.014078
8:27:4 1/4/2024,19.8,34.1,0,25.723067,39.439046,86.014078
9:27:4 1/4/2024,19.6,35.7,0,25.723067,39.215667,86.014078
10:27:4 1/4/2024,18.8,36.9,0,25.77596,39.002913,86.014078
11:27:4 1/4/2024,18.8,37.9,0,25.705431,38.828571,86.53302
12:27:4 1/4/2024,18.9,38.2,0,25.705431,38.624096,86.53302
13:27:4 1/4/2024,18.8,38.7,60,26.215846,38.491457,86.014078
14:27:4 1/4/2024,24.204383,25.2,15320,26.215846,38.337799,86.014078
15:27:4 1/4/2024,25.131605,23.3,14270,25.705431,38.230603,86.014078
16:27:4 1/4/2024,28.070098,13.6,24090,25.7407,38.142011,86.014078
17:27:4 1/4/2024,31.194465,1.4,35440,26.163147,38.160324,85.491094
18:27:4 1/4/2024,30.804586,2.5,36950,25.7407,38.267322,85.491094
19:27:4 1/4/2024,31.828737,1.0,36050,25.687793,38.426846,85.491094
20:27:4 1/4/2024,31.341359,1.0,40070,26.07526,38.648823,85.491094
21:27:4 1/4/2024,31.105525,1.0,39100,25.670153,38.896969,85.491094
22:27:4 1/4/2024,29.28862,4.1,15400,26.022496,39.14984,85.491094
23:27:4 1/4/2024,30.402651,1.3,39880,25.916898,39.306753,85.491094
0:27:4 2/4/2024,27.804395,6.9,9070,25.405268,39.357098,85.491094
1:27:4 2/4/2024,25.908638,12.5,3240,25.687793,39.335064,85.491094
2:27:4 2/4/2024,25.7,17.5,0,25.511283,39.228218,86.014078
3:27:4 2/4/2024,23.7,21.5,0,25.210702,39.059118,86.014078
4:27:4 2/4/2024,22.4,24.5,0,25.440615,38.862755,86.014078
5:27:4 2/4/2024,20.9,28.1,0,25.511283,38.673567,86.014078
6:27:4 2/4/2024,19.6,31.8,0,25.069043,38.497617,86.014078
7:27:4 2/4/2024,19.1,34.1,0,25.387591,38.322467,86.014078
8:27:4 2/4/2024,19.3,35.9,0,25.228401,38.157271,86.014078
9:27:4 2/4/2024,18.4,37.9,0,25.246097,37.989748,86.014078
10:27:4 2/4/2024,17.6,37.3,0,25.440615,37.835066,86.014078
11:27:4 2/4/2024,17.1,39.2,0,25.475954,37.687042,86.014078
12:27:4 2/4/2024,16.6,39.8,0,25.228401,37.572648,86.014078
13:27:4 2/4/2024,15.7,40.3,70,25.35223,37.446616,86.014078
14:27:4 2/4/2024,25.365004,21.3,22600,25.334546,37.315035,85.491094
15:27:4 2/4/2024,26.128609,13.3,25490,25.599567,37.213676,85.491094
16:27:4 2/4/2024,32.646617,1.0,29250,25.263791,37.12447,84.96395
17:27:4 2/4/2024,33.088218,1.0,26450,25.334546,37.189867,84.96395
18:27:4 2/4/2024,33.416072,1.0,35700,25.82883,37.398714,84.96395
19:27:4 2/4/2024,32.908195,1.0,38620,25.65251,37.723239,84.96395
20:27:4 2/4/2024,33.18998,1.0,39290,25.546604,38.102364,84.96395
21:27:4 2/4/2024,32.934066,1.0,39780,25.599567,38.503777,84.96395
22:27:4 2/4/2024,32.959885,1.0,39880,25.599567,38.872083,84.96395
23:27:4 2/4/2024,29.89027,1.1,23100,25.723067,39.168636,85.491094
0:27:4 3/4/2024,28.070098,5.8,9030,25.546604,39.344505,85.491094
1:27:4 3/4/2024,31.2,10.0,2110,25.157595,39.363395,85.491094
2:27:4 3/4/2024,27.7,16.0,0,25.387591,39.240773,85.491094
3:27:4 3/4/2024,25.9,19.8,0,25.015887,39.040374,85.491094
4:27:4 3/4/2024,24.4,23.9,0,24.625571,38.806833,85.491094
5:27:4 3/4/2024,23.8,25.0,0,24.820838,38.574689,85.491094
6:27:4 3/4/2024,23.1,27.2,0,25.015887,38.334732,85.491094
7:27:4 3/4/2024,22.6,29.3,0,24.590046,38.126757,85.491094
8:27:4 3/4/2024,22.7,30.0,0,25.10447,37.959368,85.491094
9:27:4 3/4/2024,21.6,32.0,0,24.874056,37.7776,85.491094
10:27:4 3/4/2024,21.6,33.5,0,24.927257,37.629802,86.014078
11:27:4 3/4/2024,20.7,34.3,0,24.732107,37.494578,86.014078
13:27:4 3/4/2024,19.7,36.7,60,24.732107,37.26134,85.491094
14:27:4 3/4/2024,24.749225,25.4,10780,24.749857,37.139323,85.491094
15:27:4 3/4/2024,27.650091,11.8,22050,25.263791,37.008823,84.96395
16:27:4 3/4/2024,32.134634,1.0,31880,24.714355,36.964439,84.96395
17:27:4 3/4/2024,33.316072,1.0,33900,25.263791,36.999942,84.96395
18:27:4 3/4/2024,32.804195,1.0,36860,24.820838,37.148238,84.96395
19:27:4 3/4/2024,33.316072,1.0,38720,24.891791,37.398714,84.96395
20:27:4 3/4/2024,33.113733,1.0,39290,24.944987,37.705137,84.96395
21:27:4 3/4/2024,33.062653,1.0,39680,25.033608,38.026236,84.96395
22:27:4 3/4/2024,32.051919,1.0,39880,24.944987,38.334732,84.96395
23:27:4 3/4/2024,29.89027,1.5,27990,24.838579,38.562347,84.96395
0:27:4 4/4/2024,28.765059,4.4,9140,24.66109,38.682849,84.96395
1:27:4 4/4/2024,26.849838,10.8,3320,24.483431,38.676661,84.96395
2:27:4 4/4/2024,28.1,16.0,0,24.465656,38.571603,84.96395
3:27:4 4/4/2024,26.4,18.9,0,24.074236,38.393045,84.96395
4:27:4 4/4/2024,25.5,21.0,0,24.376759,38.187809,85.491094
